Date,Time,Open,High,Low,Close,Volume
2014.01.05,0:00,0.8955,0.8965,0.89462,0.89637,2875
2014.01.06,0:00,0.89636,0.89815,0.89343,0.89663,64835
2014.01.07,0:00,0.89664,0.89664,0.88927,0.8916,62573
2014.01.08,0:00,0.8916,0.89516,0.88831,0.8888,61762
2014.01.09,0:00,0.8888,0.89119,0.88638,0.88948,60438
2014.01.10,0:00,0.88947,0.90041,0.88748,0.89932,58919
2014.01.12,0:00,0.89939,0.90146,0.8984,0.90098,3001
2014.01.13,0:00,0.90101,0.90851,0.89853,0.90467,67016
2014.01.14,0:00,0.90464,0.90532,0.89505,0.89591,58983
2014.01.15,0:00,0.89593,0.89695,0.88866,0.89033,59158
2014.01.16,0:00,0.89033,0.89041,0.87756,0.8819,63230
2014.01.17,0:00,0.88188,0.88265,0.87623,0.87798,47753
2014.01.19,0:00,0.87727,0.87798,0.87714,0.87725,2629
2014.01.20,0:00,0.87724,0.88241,0.87558,0.88027,41000
2014.01.21,0:00,0.88027,0.88366,0.87745,0.88008,52249
2014.01.22,0:00,0.88009,0.88868,0.87849,0.8843,54763
2014.01.23,0:00,0.8843,0.88459,0.87304,0.87569,66788
2014.01.24,0:00,0.87571,0.8774,0.86592,0.86821,67106
2014.01.26,0:00,0.86891,0.87032,0.86845,0.86937,3301
2014.01.27,0:00,0.86936,0.87585,0.86764,0.87302,56913
2014.01.28,0:00,0.87299,0.88198,0.87291,0.87843,60896
2014.01.29,0:00,0.87836,0.88248,0.87237,0.87456,65503
2014.01.30,0:00,0.87455,0.88035,0.87092,0.87948,58736
2014.01.31,0:00,0.87946,0.88223,0.86935,0.87501,57598
2014.02.02,0:00,0.87617,0.87651,0.87476,0.87533,3391
2014.02.03,0:00,0.87534,0.88324,0.87378,0.87471,56620
2014.02.04,0:00,0.8747,0.89408,0.87295,0.89106,73183
2014.02.05,0:00,0.89104,0.89375,0.88727,0.89254,59198
2014.02.06,0:00,0.8926,0.89796,0.89183,0.89457,53546
2014.02.07,0:00,0.89458,0.89973,0.89212,0.89552,49827
2014.02.09,0:00,0.89543,0.89545,0.89397,0.89432,1676
2014.02.10,0:00,0.89433,0.89577,0.89057,0.89439,34370
2014.02.11,0:00,0.89439,0.90465,0.89438,0.90177,49606
2014.02.12,0:00,0.90177,0.90661,0.90062,0.90213,45018
2014.02.13,0:00,0.90213,0.90304,0.89263,0.89808,47484
2014.02.14,0:00,0.8981,0.90425,0.89792,0.90287,42392
2014.02.16,0:00,0.9058,0.90586,0.90482,0.90569,2687
2014.02.17,0:00,0.90567,0.90681,0.90213,0.90367,36924
2014.02.18,0:00,0.90367,0.90796,0.90007,0.90157,47558
2014.02.19,0:00,0.90155,0.90431,0.89894,0.89924,47083
2014.02.20,0:00,0.89921,0.90207,0.89357,0.90084,49667
2014.02.21,0:00,0.90085,0.90139,0.89509,0.8971,39497
2014.02.23,0:00,0.8979,0.89801,0.89607,0.89761,2681
2014.02.24,0:00,0.89762,0.90481,0.8937,0.90343,43129
2014.02.25,0:00,0.90344,0.90432,0.90029,0.90095,39556
2014.02.26,0:00,0.90094,0.90246,0.89429,0.89619,42804
2014.02.27,0:00,0.89615,0.897,0.89028,0.89587,45680
2014.02.28,0:00,0.89587,0.89883,0.89147,0.89329,41387
2014.03.02,0:00,0.88978,0.89119,0.88978,0.89013,3497
2014.03.03,0:00,0.89013,0.89455,0.88894,0.89231,39803
2014.03.04,0:00,0.89229,0.89676,0.89082,0.89562,40813
